,system:index,availablePixels_count,cloudcover_pct_scene,datetime_landsat,esd_au_scene,lakeCoverage_pct,sunazi_deg_scene,sunelev_deg_scene,surface_temp_kurtosis,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_p25,surface_temp_p75,surface_temp_skew,surface_temp_stdDev,.geo,landsat_time_utc,scene,is_temp_avg,is_temp_stdev,is_depth_avg,is_depth_stdev,is_temp_med,insitu_count,loon_median,loon_mean,loon_std,loon_count
0,1_2_1_LE07_013030_20150624,13039,13.0,1435159949826.0,1.0164187,75.9627148266822,133.98424554,64.32254769,1.8175516443353308,28.792722920000017,21.052317368710096,21.08032775358372,16.487850920000028,20.39356154485856,21.686152692824468,0.7724466015122597,1.019718210317832,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-06-24 15:32:29.826000+00:00,LE07_013030_20150624,20.57,0.006324555320336624,1.5,0.0,20.57,6.0,20.57,20.57,0.006324555320337494,6.0
1,1_2_1_LE07_013030_20150710,8485,21.0,1436542356798.0,1.0166406,49.43198368773668,134.27905884,62.9639826,4.589624483444752,29.03540234000002,22.40085448420928,22.40027077235326,19.96055924000001,21.9859890922746,22.79928517061152,1.521403499086156,0.9285402925777176,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-07-10 15:32:36.798000+00:00,LE07_013030_20150710,22.046666666666667,0.03502380143083612,1.5,0.0,22.045,6.0,22.045,22.046666666666667,0.035023801430835534,6.0
2,1_2_1_LE07_013030_20150912,15133,43.0,1442071968695.0,1.0064691,88.16195747159918,152.28634873,47.72301079,15.61151986399069,27.801497120000025,23.515462304505004,23.690038035175316,21.51234032000002,23.29718923972862,23.690038035175316,2.336403453738348,0.4241555733590789,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-09-12 15:32:48.695000+00:00,LE07_013030_20150912,23.477500000000003,0.04937032075476646,1.0,0.5345224838248488,23.484,8.0,23.484,23.4775,0.04937032075476671,8.0
3,1_2_1_LE07_013030_20150928,15247,23.0,1443454372108.0,1.0020602,88.82609962132247,156.92375645,42.27579659,16.5248076435187,25.918168100000003,19.567478089690084,19.433026561861613,18.521572820000017,19.433026561861613,19.85142104463984,2.964382325564056,0.5399897265255176,"{""type"":""MultiPoint"",""coordinates"":[]}",2015-09-28 15:32:52.108000+00:00,LE07_013030_20150928,19.729,0.03145972481942984,1.0,0.5345224838248488,19.734,8.0,19.734,19.729,0.03145972481942934,8.0
5,1_2_1_LE07_013030_20160525,13330,12.0,1464190521332.0,1.0129819,77.65802505097582,140.43989064,63.39375297,0.3112061671310591,29.185795220000045,15.495465843446654,15.736127963683412,9.515090120000025,13.698998665631583,16.929094082499258,0.2623891849406004,2.4458585743161056,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-05-25 15:35:21.332000+00:00,LE07_013030_20160525,15.29,0.024494897427831987,1.5,0.0,15.28,6.0,15.28,15.29,0.024494897427832056,6.0
6,1_2_1_LE07_013030_20160626,13167,4.0,1466955327585.0,1.0165427,76.70841829303816,135.13090893,64.55780621,0.6261322827223794,22.534328300000027,12.76366392928552,12.724345607828113,8.154718160000016,11.438735187064031,13.671333109833098,0.7714606576694382,2.03578130134626,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-06-26 15:35:27.585000+00:00,LE07_013030_20160626,22.81,0.4134730946506681,1.5,0.0,22.895,6.0,22.895,22.81,0.4134730946506678,6.0
7,1_2_1_LE07_013030_20160712,15422,6.0,1468337726605.0,1.0165557,89.845616079231,135.8092909,62.97865885,9.964372645231446,32.562798980000025,23.26808244734532,23.05041214180949,21.785781919999977,22.642776570373183,23.462048637399956,2.63985368630264,1.0119531936057158,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-07-12 15:35:26.605000+00:00,LE07_013030_20160712,22.63,0.10315037566582122,1.5,0.0,22.63,6.0,22.63,22.63,0.10315037566582023,6.0
8,1_2_1_LE07_013030_20160829,12407,21.0,1472484934561.0,1.0097582,72.28080396154967,148.94913886,52.16272494,9.195448784350797,31.16482880000001,24.19915166779747,24.301711338560565,20.480098279999996,23.870262196701,24.301711338560565,1.8509441579620496,0.7905135594341044,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-08-29 15:35:34.561000+00:00,LE07_013030_20160829,23.743333333333336,0.01861898672502626,1.5,0.0,23.745,6.0,23.745,23.743333333333336,0.018618986725027053,6.0
9,1_2_1_LE07_013030_20160914,12186,73.0,1473867336298.0,1.0057406,70.99330032041946,154.10804203,47.03652514,3.009603243803354,24.61248446000002,19.96161461184669,20.220653345749565,15.376994420000017,19.68974925529376,20.741758328944268,-0.8923139445427726,0.9873310435413394,"{""type"":""MultiPoint"",""coordinates"":[]}",2016-09-14 15:35:36.298000+00:00,LE07_013030_20160914,21.906666666666666,0.018618986725025623,1.5,0.0,21.905,6.0,21.905,21.906666666666666,0.018618986725024284,6.0
10,1_2_1_LE07_013030_20170715,7196,55.0,1500132933389.0,1.0164352,41.92251674919895,136.15875088,62.58043528,6.80951522578583,28.519281320000005,21.80556970330637,21.67190769479857,19.276955240000007,21.198051950747107,22.14546491113582,1.5557034069810023,0.8208871954912638,"{""type"":""MultiPoint"",""coordinates"":[]}",2017-07-15 15:35:33.389000+00:00,LE07_013030_20170715,22.24666666666667,0.17025471114382262,1.5,0.0,22.29,6.0,22.29,22.246666666666666,0.17025471114382246,6.0
