system:index,availablePixels_count,cloudcover_pct_scene,datetime_landsat,esd_au_scene,lakeCoverage_pct,sunazi_deg_scene,sunelev_deg_scene,surface_temp_kurtosis,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_p25,surface_temp_p75,surface_temp_skew,surface_temp_stdDev,.geo
1_2_1_LE07_013030_20150507,15254,0.0,1.431012735313E12,1.0090339,88.8668802796388,143.52886271,59.35243196,2.1977181784657267,22.910310500000037,11.365449915059939,10.920285321670047,7.597580900000025,10.18150845465214,12.335329740754831,1.285925192653284,1.968238794037003,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1_LE07_013030_20150523,15126,0.0,1.4323951413E12,1.0124792,88.12117681328284,139.78596488,62.64127742,1.4309161421747136,21.05774366000003,12.888102424588233,12.699500486986615,7.840260320000027,12.356744023026222,13.686504000331263,-0.24995094870221907,1.1856365653729823,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1_LE07_013030_20150624,13039,13.0,1.435159949826E12,1.0164187,75.9627148266822,133.98424554,64.32254769,1.8175516443353308,28.792722920000017,21.052317368710096,21.080327753583717,16.487850920000028,20.39356154485856,21.686152692824468,0.7724466015122597,1.019718210317832,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1_LE07_013030_20150710,8485,21.0,1.436542356798E12,1.0166406,49.431983687736675,134.27905884,62.9639826,4.5896244834447515,29.03540234000002,22.40085448420928,22.40027077235326,19.96055924000001,21.9859890922746,22.79928517061152,1.521403499086156,0.9285402925777175,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1_LE07_013030_20150912,15133,43.0,1.442071968695E12,1.0064691,88.16195747159918,152.28634873,47.72301079,15.61151986399069,27.801497120000022,23.515462304505004,23.690038035175313,21.51234032000002,23.29718923972862,23.690038035175313,2.336403453738348,0.4241555733590789,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1_LE07_013030_20150928,15247,23.0,1.443454372108E12,1.0020602,88.82609962132247,156.92375645,42.27579659,16.5248076435187,25.918168100000003,19.567478089690084,19.433026561861613,18.521572820000017,19.433026561861613,19.851421044639842,2.964382325564056,0.5399897265255176,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1_LE07_013030_20151030,11444,32.0,1.44621919987E12,0.9930649,66.67055053888727,162.93167924,31.38579871,10.280066905338813,12.998052500000028,10.15717903824808,10.131903387213395,5.4066300800000135,10.10925632102537,10.475393811398815,-2.135624400207602,0.5455748074258207,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1_LE07_013030_20160525,13330,12.0,1.464190521332E12,1.0129819,77.65802505097582,140.43989064,63.39375297,0.3112061671310591,29.185795220000045,15.495465843446654,15.736127963683412,9.515090120000025,13.698998665631585,16.929094082499258,0.2623891849406004,2.4458585743161056,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1_LE07_013030_20160626,13167,4.0,1.466955327585E12,1.0165427,76.70841829303816,135.13090893,64.55780621,0.6261322827223794,22.534328300000027,12.763663929285519,12.724345607828113,8.154718160000016,11.438735187064033,13.671333109833098,0.7714606576694382,2.0357813013462596,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1_LE07_013030_20160712,15422,6.0,1.468337726605E12,1.0165557,89.845616079231,135.8092909,62.97865885,9.964372645231446,32.562798980000025,23.26808244734532,23.050412141809492,21.785781919999977,22.642776570373183,23.462048637399953,2.6398536863026396,1.0119531936057158,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1_LE07_013030_20160829,12407,21.0,1.472484934561E12,1.0097582,72.28080396154967,148.94913886,52.16272494,9.195448784350795,31.16482880000001,24.19915166779747,24.301711338560565,20.480098279999993,23.870262196701002,24.301711338560565,1.8509441579620496,0.7905135594341044,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1_LE07_013030_20160914,12186,73.0,1.473867336298E12,1.0057406,70.99330032041946,154.10804203,47.03652514,3.0096032438033546,24.61248446000002,19.961614611846695,20.220653345749565,15.376994420000017,19.68974925529376,20.741758328944268,-0.8923139445427726,0.9873310435413394,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1_LE07_013030_20170715,7196,55.0,1.500132933389E12,1.0164352,41.92251674919895,136.15875088,62.58043528,6.80951522578583,28.519281320000005,21.80556970330637,21.67190769479857,19.276955240000007,21.198051950747107,22.14546491113582,1.5557034069810025,0.8208871954912638,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1_LE07_013030_20170731,14966,3.0,1.50151533209E12,1.0150403,87.1890474803379,139.58562656,59.70322169,12.983168508132172,35.53305836000004,22.82704136335535,22.867969031143275,21.173956340000018,22.45845085434705,22.893372583799472,2.796350985808039,0.9344056967980024,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1_LE07_013030_20170901,5232,21.0,1.504280130481E12,1.0091146,30.48062918729974,149.82034806,51.30168087,3.7069203323539055,22.589016620000052,19.133549609095223,19.232800337072433,13.168953500000043,18.89501567154419,19.571725619759654,-1.4974401640328623,0.9448992903493033,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1_LE07_013030_20170917,15215,8.0,1.505662528075E12,1.004999,88.63967375473348,154.88249609,46.08854595,8.909169437180138,29.07983660000002,21.774675515403256,21.559358205406593,19.76231408000001,21.559358205406593,22.013609068596352,1.7101745560612025,0.6902522825787945,"{""type"":""MultiPoint"",""coordinates"":[]}"
