,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
56985,56986,2017-09-25 10:10:00,loon,1.5,21.02,edi.499.2,2017-09-25 15:10:00+00:00,0 days 00:23:05.620000,1385
56986,56987,2017-09-25 10:20:00,loon,1.5,21.02,edi.499.2,2017-09-25 15:20:00+00:00,0 days 00:13:05.620000,785
56987,56988,2017-09-25 10:30:00,loon,1.5,21.34,edi.499.2,2017-09-25 15:30:00+00:00,0 days 00:03:05.620000,185
56988,56989,2017-09-25 10:40:00,loon,1.5,21.3,edi.499.2,2017-09-25 15:40:00+00:00,-1 days +23:53:05.620000,-415
56989,56990,2017-09-25 10:50:00,loon,1.5,21.47,edi.499.2,2017-09-25 15:50:00+00:00,-1 days +23:43:05.620000,-1015
56990,56991,2017-09-25 11:00:00,loon,1.5,21.81,edi.499.2,2017-09-25 16:00:00+00:00,-1 days +23:33:05.620000,-1615
