,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
86562,86563,2019-06-27 10:10:00,loon,1.5,21.62,edi.499.2,2019-06-27 15:10:00+00:00,0 days 00:22:47.056000,1367
86563,86564,2019-06-27 10:20:00,loon,1.5,21.62,edi.499.2,2019-06-27 15:20:00+00:00,0 days 00:12:47.056000,767
86564,86565,2019-06-27 10:30:00,loon,1.5,21.74,edi.499.2,2019-06-27 15:30:00+00:00,0 days 00:02:47.056000,167
86565,86566,2019-06-27 10:40:00,loon,1.5,21.82,edi.499.2,2019-06-27 15:40:00+00:00,-1 days +23:52:47.056000,-433
86566,86567,2019-06-27 10:50:00,loon,1.5,22.0,edi.499.2,2019-06-27 15:50:00+00:00,-1 days +23:42:47.056000,-1033
86567,86568,2019-06-27 11:00:00,loon,1.5,22.12,edi.499.2,2019-06-27 16:00:00+00:00,-1 days +23:32:47.056000,-1633
