,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
95775,95776,2019-08-30 10:10:00,loon,1.5,22.76,edi.499.2,2019-08-30 15:10:00+00:00,0 days 00:23:05.436000,1385
95776,95777,2019-08-30 10:20:00,loon,1.5,22.79,edi.499.2,2019-08-30 15:20:00+00:00,0 days 00:13:05.436000,785
95777,95778,2019-08-30 10:30:00,loon,1.5,22.8,edi.499.2,2019-08-30 15:30:00+00:00,0 days 00:03:05.436000,185
95778,95779,2019-08-30 10:40:00,loon,1.5,22.83,edi.499.2,2019-08-30 15:40:00+00:00,-1 days +23:53:05.436000,-415
95779,95780,2019-08-30 10:50:00,loon,1.5,22.83,edi.499.2,2019-08-30 15:50:00+00:00,-1 days +23:43:05.436000,-1015
95780,95781,2019-08-30 11:00:00,loon,1.5,22.85,edi.499.2,2019-08-30 16:00:00+00:00,-1 days +23:33:05.436000,-1615
