,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
52378,52379,2017-08-24 10:10:00,loon,1.5,22.5,edi.499.2,2017-08-24 15:10:00+00:00,0 days 00:22:58.898000,1378
52379,52380,2017-08-24 10:20:00,loon,1.5,22.53,edi.499.2,2017-08-24 15:20:00+00:00,0 days 00:12:58.898000,778
52380,52381,2017-08-24 10:30:00,loon,1.5,22.55,edi.499.2,2017-08-24 15:30:00+00:00,0 days 00:02:58.898000,178
52381,52382,2017-08-24 10:40:00,loon,1.5,22.55,edi.499.2,2017-08-24 15:40:00+00:00,-1 days +23:52:58.898000,-422
52382,52383,2017-08-24 10:50:00,loon,1.5,22.56,edi.499.2,2017-08-24 15:50:00+00:00,-1 days +23:42:58.898000,-1022
52383,52384,2017-08-24 11:00:00,loon,1.5,22.58,edi.499.2,2017-08-24 16:00:00+00:00,-1 days +23:32:58.898000,-1622
