,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
118895,118896,2020-08-24 09:40:00,loon,1.5,24.05,edi.499.2,2020-08-24 14:40:00+00:00,0 days 00:20:13.173000,1213
118896,118897,2020-08-24 09:50:00,loon,1.5,24.06,edi.499.2,2020-08-24 14:50:00+00:00,0 days 00:10:13.173000,613
118897,118898,2020-08-24 10:00:00,loon,1.5,24.05,edi.499.2,2020-08-24 15:00:00+00:00,0 days 00:00:13.173000,13
118898,118899,2020-08-24 10:10:00,loon,1.5,24.05,edi.499.2,2020-08-24 15:10:00+00:00,-1 days +23:50:13.173000,-587
118899,118900,2020-08-24 10:20:00,loon,1.5,24.13,edi.499.2,2020-08-24 15:20:00+00:00,-1 days +23:40:13.173000,-1187
118900,118901,2020-08-24 10:30:00,loon,1.5,24.09,edi.499.2,2020-08-24 15:30:00+00:00,-1 days +23:30:13.173000,-1787
