,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
1876,1877,2015-06-24 10:10:00,loon,1.5,20.57,edi.499.2,2015-06-24 15:10:00+00:00,0 days 00:22:29.826000,1349
1877,1878,2015-06-24 10:20:00,loon,1.5,20.56,edi.499.2,2015-06-24 15:20:00+00:00,0 days 00:12:29.826000,749
1878,1879,2015-06-24 10:30:00,loon,1.5,20.57,edi.499.2,2015-06-24 15:30:00+00:00,0 days 00:02:29.826000,149
1879,1880,2015-06-24 10:40:00,loon,1.5,20.57,edi.499.2,2015-06-24 15:40:00+00:00,-1 days +23:52:29.826000,-451
1880,1881,2015-06-24 10:50:00,loon,1.5,20.57,edi.499.2,2015-06-24 15:50:00+00:00,-1 days +23:42:29.826000,-1051
1881,1882,2015-06-24 11:00:00,loon,1.5,20.58,edi.499.2,2015-06-24 16:00:00+00:00,-1 days +23:32:29.826000,-1651
