,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
27398,27399,2016-06-26 10:10:00,loon,1.5,22.13,edi.499.2,2016-06-26 15:10:00+00:00,0 days 00:25:27.585000,1527
27399,27400,2016-06-26 10:20:00,loon,1.5,22.58,edi.499.2,2016-06-26 15:20:00+00:00,0 days 00:15:27.585000,927
27400,27401,2016-06-26 10:30:00,loon,1.5,22.9,edi.499.2,2016-06-26 15:30:00+00:00,0 days 00:05:27.585000,327
27401,27402,2016-06-26 10:40:00,loon,1.5,22.89,edi.499.2,2016-06-26 15:40:00+00:00,-1 days +23:55:27.585000,-273
27402,27403,2016-06-26 10:50:00,loon,1.5,23.34,edi.499.2,2016-06-26 15:50:00+00:00,-1 days +23:45:27.585000,-873
27403,27404,2016-06-26 11:00:00,loon,1.5,23.02,edi.499.2,2016-06-26 16:00:00+00:00,-1 days +23:35:27.585000,-1473
