,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
53529,53530,2017-09-01 10:10:00,loon,1.5,20.35,edi.499.2,2017-09-01 15:10:00+00:00,0 days 00:25:30.481000,1530
53530,53531,2017-09-01 10:20:00,loon,1.5,20.34,edi.499.2,2017-09-01 15:20:00+00:00,0 days 00:15:30.481000,930
53531,53532,2017-09-01 10:30:00,loon,1.5,20.34,edi.499.2,2017-09-01 15:30:00+00:00,0 days 00:05:30.481000,330
53532,53533,2017-09-01 10:40:00,loon,1.5,20.33,edi.499.2,2017-09-01 15:40:00+00:00,-1 days +23:55:30.481000,-270
53533,53534,2017-09-01 10:50:00,loon,1.5,20.34,edi.499.2,2017-09-01 15:50:00+00:00,-1 days +23:45:30.481000,-870
53534,53535,2017-09-01 11:00:00,loon,1.5,20.34,edi.499.2,2017-09-01 16:00:00+00:00,-1 days +23:35:30.481000,-1470
