,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
114505,114506,2020-07-15 10:10:00,loon,1.5,24.7,edi.499.2,2020-07-15 15:10:00+00:00,0 days 00:22:46.161000,1366
114506,114507,2020-07-15 10:20:00,loon,1.5,24.76,edi.499.2,2020-07-15 15:20:00+00:00,0 days 00:12:46.161000,766
114507,114508,2020-07-15 10:30:00,loon,1.5,24.81,edi.499.2,2020-07-15 15:30:00+00:00,0 days 00:02:46.161000,166
114508,114509,2020-07-15 10:40:00,loon,1.5,24.93,edi.499.2,2020-07-15 15:40:00+00:00,-1 days +23:52:46.161000,-434
114509,114510,2020-07-15 10:50:00,loon,1.5,24.97,edi.499.2,2020-07-15 15:50:00+00:00,-1 days +23:42:46.161000,-1034
114510,114511,2020-07-15 11:00:00,loon,1.5,25.17,edi.499.2,2020-07-15 16:00:00+00:00,-1 days +23:32:46.161000,-1634
