,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
33157,33158,2016-08-05 10:10:00,loon,1.5,24.41,edi.499.2,2016-08-05 15:10:00+00:00,0 days 00:22:55.320000,1375
33158,33159,2016-08-05 10:20:00,loon,1.5,24.52,edi.499.2,2016-08-05 15:20:00+00:00,0 days 00:12:55.320000,775
33159,33160,2016-08-05 10:30:00,loon,1.5,24.53,edi.499.2,2016-08-05 15:30:00+00:00,0 days 00:02:55.320000,175
33160,33161,2016-08-05 10:40:00,loon,1.5,24.47,edi.499.2,2016-08-05 15:40:00+00:00,-1 days +23:52:55.320000,-425
33161,33162,2016-08-05 10:50:00,loon,1.5,24.45,edi.499.2,2016-08-05 15:50:00+00:00,-1 days +23:42:55.320000,-1025
33162,33163,2016-08-05 11:00:00,loon,1.5,24.75,edi.499.2,2016-08-05 16:00:00+00:00,-1 days +23:32:55.320000,-1625
