,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
4179,4180,2015-07-10 10:10:00,loon,1.5,22.01,edi.499.2,2015-07-10 15:10:00+00:00,0 days 00:22:36.798000,1356
4180,4181,2015-07-10 10:20:00,loon,1.5,22.02,edi.499.2,2015-07-10 15:20:00+00:00,0 days 00:12:36.798000,756
4181,4182,2015-07-10 10:30:00,loon,1.5,22.05,edi.499.2,2015-07-10 15:30:00+00:00,0 days 00:02:36.798000,156
4182,4183,2015-07-10 10:40:00,loon,1.5,22.04,edi.499.2,2015-07-10 15:40:00+00:00,-1 days +23:52:36.798000,-444
4183,4184,2015-07-10 10:50:00,loon,1.5,22.05,edi.499.2,2015-07-10 15:50:00+00:00,-1 days +23:42:36.798000,-1044
4184,4185,2015-07-10 11:00:00,loon,1.5,22.11,edi.499.2,2015-07-10 16:00:00+00:00,-1 days +23:32:36.798000,-1644
