,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
111048,111049,2020-06-21 09:40:00,loon,1.5,23.93,edi.499.2,2020-06-21 14:40:00+00:00,0 days 00:24:11.160000,1451
111049,111050,2020-06-21 09:50:00,loon,1.5,23.61,edi.499.2,2020-06-21 14:50:00+00:00,0 days 00:14:11.160000,851
111050,111051,2020-06-21 10:00:00,loon,1.5,23.59,edi.499.2,2020-06-21 15:00:00+00:00,0 days 00:04:11.160000,251
111051,111052,2020-06-21 10:10:00,loon,1.5,24.05,edi.499.2,2020-06-21 15:10:00+00:00,-1 days +23:54:11.160000,-349
111052,111053,2020-06-21 10:20:00,loon,1.5,23.7,edi.499.2,2020-06-21 15:20:00+00:00,-1 days +23:44:11.160000,-949
111053,111054,2020-06-21 10:30:00,loon,1.5,23.79,edi.499.2,2020-06-21 15:30:00+00:00,-1 days +23:34:11.160000,-1549
