,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
54681,54682,2017-09-09 10:10:00,loon,1.5,18.74,edi.499.2,2017-09-09 15:10:00+00:00,0 days 00:23:00.361000,1380
54682,54683,2017-09-09 10:20:00,loon,1.5,18.75,edi.499.2,2017-09-09 15:20:00+00:00,0 days 00:13:00.361000,780
54683,54684,2017-09-09 10:30:00,loon,1.5,18.76,edi.499.2,2017-09-09 15:30:00+00:00,0 days 00:03:00.361000,180
54684,54685,2017-09-09 10:40:00,loon,1.5,18.76,edi.499.2,2017-09-09 15:40:00+00:00,-1 days +23:53:00.361000,-420
54685,54686,2017-09-09 10:50:00,loon,1.5,18.76,edi.499.2,2017-09-09 15:50:00+00:00,-1 days +23:43:00.361000,-1020
54686,54687,2017-09-09 11:00:00,loon,1.5,18.76,edi.499.2,2017-09-09 16:00:00+00:00,-1 days +23:33:00.361000,-1620
