,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
15102,15103,2015-09-12 10:10:00,loon,1.5,23.45,edi.499.2,2015-09-12 15:10:00+00:00,0 days 00:22:48.695000,1368
15103,15104,2015-09-12 10:15:00,loon,0.5,23.484,edi.499.2,2015-09-12 15:15:00+00:00,0 days 00:17:48.695000,1068
15104,15105,2015-09-12 10:20:00,loon,1.5,23.46,edi.499.2,2015-09-12 15:20:00+00:00,0 days 00:12:48.695000,768
15105,15106,2015-09-12 10:30:00,loon,0.5,23.484,edi.499.2,2015-09-12 15:30:00+00:00,0 days 00:02:48.695000,168
15106,15107,2015-09-12 10:40:00,loon,1.5,23.51,edi.499.2,2015-09-12 15:40:00+00:00,-1 days +23:52:48.695000,-432
15107,15108,2015-09-12 10:45:00,loon,0.5,23.484,edi.499.2,2015-09-12 15:45:00+00:00,-1 days +23:47:48.695000,-732
15108,15109,2015-09-12 10:50:00,loon,1.5,23.56,edi.499.2,2015-09-12 15:50:00+00:00,-1 days +23:42:48.695000,-1032
15109,15110,2015-09-12 11:00:00,loon,0.5,23.388,edi.499.2,2015-09-12 16:00:00+00:00,-1 days +23:32:48.695000,-1632
