,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
7634,7635,2015-08-03 10:10:00,loon,1.5,24.1,edi.499.2,2015-08-03 15:10:00+00:00,0 days 00:22:31.019000,1351
7635,7636,2015-08-03 10:20:00,loon,1.5,24.1,edi.499.2,2015-08-03 15:20:00+00:00,0 days 00:12:31.019000,751
7636,7637,2015-08-03 10:30:00,loon,1.5,24.1,edi.499.2,2015-08-03 15:30:00+00:00,0 days 00:02:31.019000,151
7637,7638,2015-08-03 10:40:00,loon,1.5,24.11,edi.499.2,2015-08-03 15:40:00+00:00,-1 days +23:52:31.019000,-449
7638,7639,2015-08-03 10:50:00,loon,1.5,24.11,edi.499.2,2015-08-03 15:50:00+00:00,-1 days +23:42:31.019000,-1049
7639,7640,2015-08-03 11:00:00,loon,1.5,24.11,edi.499.2,2015-08-03 16:00:00+00:00,-1 days +23:32:31.019000,-1649
