,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
55833,55834,2017-09-17 10:10:00,loon,1.5,20.83,edi.499.2,2017-09-17 15:10:00+00:00,0 days 00:25:28.075000,1528
55834,55835,2017-09-17 10:20:00,loon,1.5,20.9,edi.499.2,2017-09-17 15:20:00+00:00,0 days 00:15:28.075000,928
55835,55836,2017-09-17 10:30:00,loon,1.5,21.0,edi.499.2,2017-09-17 15:30:00+00:00,0 days 00:05:28.075000,328
55836,55837,2017-09-17 10:40:00,loon,1.5,20.89,edi.499.2,2017-09-17 15:40:00+00:00,-1 days +23:55:28.075000,-272
55837,55838,2017-09-17 10:50:00,loon,1.5,20.9,edi.499.2,2017-09-17 15:50:00+00:00,-1 days +23:45:28.075000,-872
55838,55839,2017-09-17 11:00:00,loon,1.5,20.82,edi.499.2,2017-09-17 16:00:00+00:00,-1 days +23:35:28.075000,-1472
