,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
44202,44203,2017-06-21 10:10:00,loon,1.5,20.57,edi.499.2,2017-06-21 15:10:00+00:00,0 days 00:22:38.099000,1358
44203,44204,2017-06-21 10:20:00,loon,1.5,20.57,edi.499.2,2017-06-21 15:20:00+00:00,0 days 00:12:38.099000,758
44204,44205,2017-06-21 10:30:00,loon,1.5,20.57,edi.499.2,2017-06-21 15:30:00+00:00,0 days 00:02:38.099000,158
44205,44206,2017-06-21 10:40:00,loon,1.5,20.57,edi.499.2,2017-06-21 15:40:00+00:00,-1 days +23:52:38.099000,-442
44206,44207,2017-06-21 10:50:00,loon,1.5,20.57,edi.499.2,2017-06-21 15:50:00+00:00,-1 days +23:42:38.099000,-1042
44207,44208,2017-06-21 11:00:00,loon,1.5,20.57,edi.499.2,2017-06-21 16:00:00+00:00,-1 days +23:32:38.099000,-1642
