,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
98079,98080,2019-09-15 10:10:00,loon,1.5,19.15,edi.499.2,2019-09-15 15:10:00+00:00,0 days 00:23:10.368000,1390
98080,98081,2019-09-15 10:20:00,loon,1.5,19.14,edi.499.2,2019-09-15 15:20:00+00:00,0 days 00:13:10.368000,790
98081,98082,2019-09-15 10:30:00,loon,1.5,19.16,edi.499.2,2019-09-15 15:30:00+00:00,0 days 00:03:10.368000,190
98082,98083,2019-09-15 10:40:00,loon,1.5,19.19,edi.499.2,2019-09-15 15:40:00+00:00,-1 days +23:53:10.368000,-410
98083,98084,2019-09-15 10:50:00,loon,1.5,19.17,edi.499.2,2019-09-15 15:50:00+00:00,-1 days +23:43:10.368000,-1010
98084,98085,2019-09-15 11:00:00,loon,1.5,19.19,edi.499.2,2019-09-15 16:00:00+00:00,-1 days +23:33:10.368000,-1610
