,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
81956,81957,2019-05-26 10:10:00,loon,1.5,12.38,edi.499.2,2019-05-26 15:10:00+00:00,0 days 00:22:34.573000,1354
81957,81958,2019-05-26 10:20:00,loon,1.5,12.4,edi.499.2,2019-05-26 15:20:00+00:00,0 days 00:12:34.573000,754
81958,81959,2019-05-26 10:30:00,loon,1.5,12.4,edi.499.2,2019-05-26 15:30:00+00:00,0 days 00:02:34.573000,154
81959,81960,2019-05-26 10:40:00,loon,1.5,12.35,edi.499.2,2019-05-26 15:40:00+00:00,-1 days +23:52:34.573000,-446
81960,81961,2019-05-26 10:50:00,loon,1.5,12.35,edi.499.2,2019-05-26 15:50:00+00:00,-1 days +23:42:34.573000,-1046
81961,81962,2019-05-26 11:00:00,loon,1.5,12.31,edi.499.2,2019-05-26 16:00:00+00:00,-1 days +23:32:34.573000,-1646
