,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
73224,73225,2018-08-19 10:10:00,loon,0.85,23.93,edi.499.2,2018-08-19 15:10:00+00:00,0 days 00:21:22.672000,1282
73225,73226,2018-08-19 10:15:00,loon,0.25,23.86,edi.499.2,2018-08-19 15:15:00+00:00,0 days 00:16:22.672000,982
73226,73227,2018-08-19 10:30:00,loon,0.25,23.84,edi.499.2,2018-08-19 15:30:00+00:00,0 days 00:01:22.672000,82
73227,73228,2018-08-19 10:45:00,loon,0.25,23.84,edi.499.2,2018-08-19 15:45:00+00:00,-1 days +23:46:22.672000,-818
73228,73229,2018-08-19 10:50:00,loon,0.85,23.96,edi.499.2,2018-08-19 15:50:00+00:00,-1 days +23:41:22.672000,-1118
73229,73230,2018-08-19 11:00:00,loon,0.25,23.84,edi.499.2,2018-08-19 16:00:00+00:00,-1 days +23:31:22.672000,-1718
