,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
46621,46622,2017-07-15 10:10:00,loon,1.5,22.25,edi.499.2,2017-07-15 15:10:00+00:00,0 days 00:25:33.389000,1533
46622,46623,2017-07-15 10:20:00,loon,1.5,22.35,edi.499.2,2017-07-15 15:20:00+00:00,0 days 00:15:33.389000,933
46623,46624,2017-07-15 10:30:00,loon,1.5,22.33,edi.499.2,2017-07-15 15:30:00+00:00,0 days 00:05:33.389000,333
46624,46625,2017-07-15 10:40:00,loon,1.5,21.92,edi.499.2,2017-07-15 15:40:00+00:00,-1 days +23:55:33.389000,-267
46625,46626,2017-07-15 10:50:00,loon,1.5,22.39,edi.499.2,2017-07-15 15:50:00+00:00,-1 days +23:45:33.389000,-867
46626,46627,2017-07-15 11:00:00,loon,1.5,22.24,edi.499.2,2017-07-15 16:00:00+00:00,-1 days +23:35:33.389000,-1467
