,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
107815,107816,2020-05-20 09:40:00,loon,1.5,12.03,edi.499.2,2020-05-20 14:40:00+00:00,0 days 00:26:03.964000,1563
107816,107817,2020-05-20 09:50:00,loon,1.5,12.03,edi.499.2,2020-05-20 14:50:00+00:00,0 days 00:16:03.964000,963
107817,107818,2020-05-20 10:00:00,loon,1.5,12.15,edi.499.2,2020-05-20 15:00:00+00:00,0 days 00:06:03.964000,363
107818,107819,2020-05-20 10:10:00,loon,1.5,12.25,edi.499.2,2020-05-20 15:10:00+00:00,-1 days +23:56:03.964000,-237
107819,107820,2020-05-20 10:20:00,loon,1.5,12.19,edi.499.2,2020-05-20 15:20:00+00:00,-1 days +23:46:03.964000,-837
107820,107821,2020-05-20 10:30:00,loon,1.5,12.09,edi.499.2,2020-05-20 15:30:00+00:00,-1 days +23:36:03.964000,-1437
