,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
38916,38917,2016-09-14 10:10:00,loon,1.5,21.9,edi.499.2,2016-09-14 15:10:00+00:00,0 days 00:25:36.298000,1536
38917,38918,2016-09-14 10:20:00,loon,1.5,21.89,edi.499.2,2016-09-14 15:20:00+00:00,0 days 00:15:36.298000,936
38918,38919,2016-09-14 10:30:00,loon,1.5,21.89,edi.499.2,2016-09-14 15:30:00+00:00,0 days 00:05:36.298000,336
38919,38920,2016-09-14 10:40:00,loon,1.5,21.91,edi.499.2,2016-09-14 15:40:00+00:00,-1 days +23:55:36.298000,-264
38920,38921,2016-09-14 10:50:00,loon,1.5,21.91,edi.499.2,2016-09-14 15:50:00+00:00,-1 days +23:45:36.298000,-864
38921,38922,2016-09-14 11:00:00,loon,1.5,21.94,edi.499.2,2016-09-14 16:00:00+00:00,-1 days +23:35:36.298000,-1464
