,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
30853,30854,2016-07-20 10:10:00,loon,1.5,23.26,edi.499.2,2016-07-20 15:10:00+00:00,0 days 00:22:52.539000,1372
30854,30855,2016-07-20 10:20:00,loon,1.5,23.24,edi.499.2,2016-07-20 15:20:00+00:00,0 days 00:12:52.539000,772
30855,30856,2016-07-20 10:30:00,loon,1.5,23.27,edi.499.2,2016-07-20 15:30:00+00:00,0 days 00:02:52.539000,172
30856,30857,2016-07-20 10:40:00,loon,1.5,23.32,edi.499.2,2016-07-20 15:40:00+00:00,-1 days +23:52:52.539000,-428
30857,30858,2016-07-20 10:50:00,loon,1.5,23.37,edi.499.2,2016-07-20 15:50:00+00:00,-1 days +23:42:52.539000,-1028
30858,30859,2016-07-20 11:00:00,loon,1.5,23.42,edi.499.2,2016-07-20 16:00:00+00:00,-1 days +23:32:52.539000,-1628
