,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
10494,10495,2015-08-19 10:10:00,loon,1.5,24.95,edi.499.2,2015-08-19 15:10:00+00:00,0 days 00:22:38.478000,1358
10495,10496,2015-08-19 10:15:00,loon,0.5,24.931,edi.499.2,2015-08-19 15:15:00+00:00,0 days 00:17:38.478000,1058
10496,10497,2015-08-19 10:20:00,loon,1.5,24.97,edi.499.2,2015-08-19 15:20:00+00:00,0 days 00:12:38.478000,758
10497,10498,2015-08-19 10:30:00,loon,0.5,24.931,edi.499.2,2015-08-19 15:30:00+00:00,0 days 00:02:38.478000,158
10498,10499,2015-08-19 10:40:00,loon,1.5,24.97,edi.499.2,2015-08-19 15:40:00+00:00,-1 days +23:52:38.478000,-442
10499,10500,2015-08-19 10:45:00,loon,0.5,24.835,edi.499.2,2015-08-19 15:45:00+00:00,-1 days +23:47:38.478000,-742
10500,10501,2015-08-19 10:50:00,loon,1.5,24.99,edi.499.2,2015-08-19 15:50:00+00:00,-1 days +23:42:38.478000,-1042
10501,10502,2015-08-19 11:00:00,loon,0.5,24.835,edi.499.2,2015-08-19 16:00:00+00:00,-1 days +23:32:38.478000,-1642
