,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
88865,88866,2019-07-13 10:10:00,loon,1.5,24.75,edi.499.2,2019-07-13 15:10:00+00:00,0 days 00:22:50.218000,1370
88866,88867,2019-07-13 10:20:00,loon,1.5,24.79,edi.499.2,2019-07-13 15:20:00+00:00,0 days 00:12:50.218000,770
88867,88868,2019-07-13 10:30:00,loon,1.5,24.86,edi.499.2,2019-07-13 15:30:00+00:00,0 days 00:02:50.218000,170
88868,88869,2019-07-13 10:40:00,loon,1.5,25.01,edi.499.2,2019-07-13 15:40:00+00:00,-1 days +23:52:50.218000,-430
88869,88870,2019-07-13 10:50:00,loon,1.5,25.04,edi.499.2,2019-07-13 15:50:00+00:00,-1 days +23:42:50.218000,-1030
88870,88871,2019-07-13 11:00:00,loon,1.5,25.07,edi.499.2,2019-07-13 16:00:00+00:00,-1 days +23:32:50.218000,-1630
