,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
48923,48924,2017-07-31 10:10:00,loon,1.5,22.74,edi.499.2,2017-07-31 15:10:00+00:00,0 days 00:25:32.090000,1532
48924,48925,2017-07-31 10:20:00,loon,1.5,22.77,edi.499.2,2017-07-31 15:20:00+00:00,0 days 00:15:32.090000,932
48925,48926,2017-07-31 10:30:00,loon,1.5,22.79,edi.499.2,2017-07-31 15:30:00+00:00,0 days 00:05:32.090000,332
48926,48927,2017-07-31 10:40:00,loon,1.5,22.74,edi.499.2,2017-07-31 15:40:00+00:00,-1 days +23:55:32.090000,-268
48927,48928,2017-07-31 10:50:00,loon,1.5,22.78,edi.499.2,2017-07-31 15:50:00+00:00,-1 days +23:45:32.090000,-868
48928,48929,2017-07-31 11:00:00,loon,1.5,22.8,edi.499.2,2017-07-31 16:00:00+00:00,-1 days +23:35:32.090000,-1468
