,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
87712,87713,2019-07-05 10:00:00,loon,1.5,24.45,edi.499.2,2019-07-05 15:00:00+00:00,0 days 00:21:44.531000,1304
87713,87714,2019-07-05 10:10:00,loon,1.5,24.47,edi.499.2,2019-07-05 15:10:00+00:00,0 days 00:11:44.531000,704
87714,87715,2019-07-05 10:20:00,loon,1.5,24.56,edi.499.2,2019-07-05 15:20:00+00:00,0 days 00:01:44.531000,104
87715,87716,2019-07-05 10:30:00,loon,1.5,24.67,edi.499.2,2019-07-05 15:30:00+00:00,-1 days +23:51:44.531000,-496
87716,87717,2019-07-05 10:40:00,loon,1.5,24.76,edi.499.2,2019-07-05 15:40:00+00:00,-1 days +23:41:44.531000,-1096
87717,87718,2019-07-05 10:50:00,loon,1.5,24.68,edi.499.2,2019-07-05 15:50:00+00:00,-1 days +23:31:44.531000,-1696
