,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
59288,59289,2017-10-11 10:10:00,loon,1.5,17.98,edi.499.2,2017-10-11 15:10:00+00:00,0 days 00:23:10.633000,1390
59289,59290,2017-10-11 10:20:00,loon,1.5,18.01,edi.499.2,2017-10-11 15:20:00+00:00,0 days 00:13:10.633000,790
59290,59291,2017-10-11 10:30:00,loon,1.5,18.04,edi.499.2,2017-10-11 15:30:00+00:00,0 days 00:03:10.633000,190
59291,59292,2017-10-11 10:40:00,loon,1.5,18.05,edi.499.2,2017-10-11 15:40:00+00:00,-1 days +23:53:10.633000,-410
59292,59293,2017-10-11 10:50:00,loon,1.5,18.06,edi.499.2,2017-10-11 15:50:00+00:00,-1 days +23:43:10.633000,-1010
59293,59294,2017-10-11 11:00:00,loon,1.5,18.06,edi.499.2,2017-10-11 16:00:00+00:00,-1 days +23:33:10.633000,-1610
