,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
66313,66314,2018-07-02 10:10:00,loon,0.85,23.69,edi.499.2,2018-07-02 15:10:00+00:00,0 days 00:22:15.711000,1335
66314,66315,2018-07-02 10:15:00,loon,0.25,23.46,edi.499.2,2018-07-02 15:15:00+00:00,0 days 00:17:15.711000,1035
66315,66316,2018-07-02 10:30:00,loon,0.25,23.44,edi.499.2,2018-07-02 15:30:00+00:00,0 days 00:02:15.711000,135
66316,66317,2018-07-02 10:45:00,loon,0.25,23.4,edi.499.2,2018-07-02 15:45:00+00:00,-1 days +23:47:15.711000,-765
66317,66318,2018-07-02 10:50:00,loon,0.85,24.08,edi.499.2,2018-07-02 15:50:00+00:00,-1 days +23:42:15.711000,-1065
66318,66319,2018-07-02 11:00:00,loon,0.25,23.4,edi.499.2,2018-07-02 16:00:00+00:00,-1 days +23:32:15.711000,-1665
