,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
67464,67465,2018-07-10 10:10:00,loon,0.85,24.16,edi.499.2,2018-07-10 15:10:00+00:00,0 days 00:22:01.766000,1321
67465,67466,2018-07-10 10:15:00,loon,0.25,23.86,edi.499.2,2018-07-10 15:15:00+00:00,0 days 00:17:01.766000,1021
67466,67467,2018-07-10 10:30:00,loon,0.25,23.84,edi.499.2,2018-07-10 15:30:00+00:00,0 days 00:02:01.766000,121
67467,67468,2018-07-10 10:45:00,loon,0.25,23.82,edi.499.2,2018-07-10 15:45:00+00:00,-1 days +23:47:01.766000,-779
67468,67469,2018-07-10 10:50:00,loon,0.85,24.29,edi.499.2,2018-07-10 15:50:00+00:00,-1 days +23:42:01.766000,-1079
67469,67470,2018-07-10 11:00:00,loon,0.25,23.82,edi.499.2,2018-07-10 16:00:00+00:00,-1 days +23:32:01.766000,-1679
