,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
116809,116810,2020-07-31 10:10:00,loon,1.5,25.4,edi.499.2,2020-07-31 15:10:00+00:00,0 days 00:22:50.485000,1370
116810,116811,2020-07-31 10:20:00,loon,1.5,25.44,edi.499.2,2020-07-31 15:20:00+00:00,0 days 00:12:50.485000,770
116811,116812,2020-07-31 10:30:00,loon,1.5,25.47,edi.499.2,2020-07-31 15:30:00+00:00,0 days 00:02:50.485000,170
116812,116813,2020-07-31 10:40:00,loon,1.5,25.49,edi.499.2,2020-07-31 15:40:00+00:00,-1 days +23:52:50.485000,-430
116813,116814,2020-07-31 10:50:00,loon,1.5,25.5,edi.499.2,2020-07-31 15:50:00+00:00,-1 days +23:42:50.485000,-1030
116814,116815,2020-07-31 11:00:00,loon,1.5,25.54,edi.499.2,2020-07-31 16:00:00+00:00,-1 days +23:32:50.485000,-1630
