,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
18173,18174,2015-09-28 10:10:00,loon,1.5,19.69,edi.499.2,2015-09-28 15:10:00+00:00,0 days 00:22:52.108000,1372
18174,18175,2015-09-28 10:15:00,loon,0.5,19.758,edi.499.2,2015-09-28 15:15:00+00:00,0 days 00:17:52.108000,1072
18175,18176,2015-09-28 10:20:00,loon,1.5,19.7,edi.499.2,2015-09-28 15:20:00+00:00,0 days 00:12:52.108000,772
18176,18177,2015-09-28 10:30:00,loon,0.5,19.758,edi.499.2,2015-09-28 15:30:00+00:00,0 days 00:02:52.108000,172
18177,18178,2015-09-28 10:40:00,loon,1.5,19.71,edi.499.2,2015-09-28 15:40:00+00:00,-1 days +23:52:52.108000,-428
18178,18179,2015-09-28 10:45:00,loon,0.5,19.758,edi.499.2,2015-09-28 15:45:00+00:00,-1 days +23:47:52.108000,-728
18179,18180,2015-09-28 10:50:00,loon,1.5,19.7,edi.499.2,2015-09-28 15:50:00+00:00,-1 days +23:42:52.108000,-1028
18180,18181,2015-09-28 11:00:00,loon,0.5,19.758,edi.499.2,2015-09-28 16:00:00+00:00,-1 days +23:32:52.108000,-1628
