,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
92319,92320,2019-08-06 10:00:00,loon,1.5,25.2,edi.499.2,2019-08-06 15:00:00+00:00,0 days 00:20:27.959000,1227
92320,92321,2019-08-06 10:10:00,loon,1.5,25.24,edi.499.2,2019-08-06 15:10:00+00:00,0 days 00:10:27.959000,627
92321,92322,2019-08-06 10:20:00,loon,1.5,25.35,edi.499.2,2019-08-06 15:20:00+00:00,0 days 00:00:27.959000,27
92322,92323,2019-08-06 10:30:00,loon,1.5,25.44,edi.499.2,2019-08-06 15:30:00+00:00,-1 days +23:50:27.959000,-573
92323,92324,2019-08-06 10:40:00,loon,1.5,25.44,edi.499.2,2019-08-06 15:40:00+00:00,-1 days +23:40:27.959000,-1173
92324,92325,2019-08-06 10:50:00,loon,1.5,25.51,edi.499.2,2019-08-06 15:50:00+00:00,-1 days +23:30:27.959000,-1773
