,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
40068,40069,2016-09-22 10:10:00,loon,1.5,21.52,edi.499.2,2016-09-22 15:10:00+00:00,0 days 00:23:07.849000,1387
40069,40070,2016-09-22 10:20:00,loon,1.5,21.69,edi.499.2,2016-09-22 15:20:00+00:00,0 days 00:13:07.849000,787
40070,40071,2016-09-22 10:30:00,loon,1.5,21.63,edi.499.2,2016-09-22 15:30:00+00:00,0 days 00:03:07.849000,187
40071,40072,2016-09-22 10:40:00,loon,1.5,21.73,edi.499.2,2016-09-22 15:40:00+00:00,-1 days +23:53:07.849000,-413
40072,40073,2016-09-22 10:50:00,loon,1.5,21.8,edi.499.2,2016-09-22 15:50:00+00:00,-1 days +23:43:07.849000,-1013
40073,40074,2016-09-22 11:00:00,loon,1.5,21.86,edi.499.2,2016-09-22 16:00:00+00:00,-1 days +23:33:07.849000,-1613
