,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
93472,93473,2019-08-14 10:10:00,loon,1.5,23.48,edi.499.2,2019-08-14 15:10:00+00:00,0 days 00:23:01.618000,1381
93473,93474,2019-08-14 10:20:00,loon,1.5,23.54,edi.499.2,2019-08-14 15:20:00+00:00,0 days 00:13:01.618000,781
93474,93475,2019-08-14 10:30:00,loon,1.5,23.57,edi.499.2,2019-08-14 15:30:00+00:00,0 days 00:03:01.618000,181
93475,93476,2019-08-14 10:40:00,loon,1.5,23.68,edi.499.2,2019-08-14 15:40:00+00:00,-1 days +23:53:01.618000,-419
93476,93477,2019-08-14 10:50:00,loon,1.5,23.75,edi.499.2,2019-08-14 15:50:00+00:00,-1 days +23:43:01.618000,-1019
93477,93478,2019-08-14 11:00:00,loon,1.5,23.86,edi.499.2,2019-08-14 16:00:00+00:00,-1 days +23:33:01.618000,-1619
