,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
75528,75529,2018-09-04 10:10:00,loon,0.85,23.9,edi.499.2,2018-09-04 15:10:00+00:00,0 days 00:21:02.812000,1262
75529,75530,2018-09-04 10:15:00,loon,0.25,23.5,edi.499.2,2018-09-04 15:15:00+00:00,0 days 00:16:02.812000,962
75530,75531,2018-09-04 10:30:00,loon,0.25,23.5,edi.499.2,2018-09-04 15:30:00+00:00,0 days 00:01:02.812000,62
75531,75532,2018-09-04 10:45:00,loon,0.25,23.5,edi.499.2,2018-09-04 15:45:00+00:00,-1 days +23:46:02.812000,-838
75532,75533,2018-09-04 10:50:00,loon,0.85,24.08,edi.499.2,2018-09-04 15:50:00+00:00,-1 days +23:41:02.812000,-1138
75533,75534,2018-09-04 11:00:00,loon,0.25,23.5,edi.499.2,2018-09-04 16:00:00+00:00,-1 days +23:31:02.812000,-1738
