,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
47772,47773,2017-07-23 10:10:00,loon,1.5,24.11,edi.499.2,2017-07-23 15:10:00+00:00,0 days 00:22:47.646000,1367
47773,47774,2017-07-23 10:20:00,loon,1.5,24.11,edi.499.2,2017-07-23 15:20:00+00:00,0 days 00:12:47.646000,767
47774,47775,2017-07-23 10:30:00,loon,1.5,24.11,edi.499.2,2017-07-23 15:30:00+00:00,0 days 00:02:47.646000,167
47775,47776,2017-07-23 10:40:00,loon,1.5,24.11,edi.499.2,2017-07-23 15:40:00+00:00,-1 days +23:52:47.646000,-433
47776,47777,2017-07-23 10:50:00,loon,1.5,24.13,edi.499.2,2017-07-23 15:50:00+00:00,-1 days +23:42:47.646000,-1033
47777,47778,2017-07-23 11:00:00,loon,1.5,24.13,edi.499.2,2017-07-23 16:00:00+00:00,-1 days +23:32:47.646000,-1633
