,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
123501,123502,2020-09-25 09:30:00,loon,1.5,17.05,edi.499.2,2020-09-25 14:30:00+00:00,0 days 00:28:06.948000,1686
123502,123503,2020-09-25 09:40:00,loon,1.5,17.08,edi.499.2,2020-09-25 14:40:00+00:00,0 days 00:18:06.948000,1086
123503,123504,2020-09-25 09:50:00,loon,1.5,17.13,edi.499.2,2020-09-25 14:50:00+00:00,0 days 00:08:06.948000,486
123504,123505,2020-09-25 10:00:00,loon,1.5,17.14,edi.499.2,2020-09-25 15:00:00+00:00,-1 days +23:58:06.948000,-114
123505,123506,2020-09-25 10:10:00,loon,1.5,17.15,edi.499.2,2020-09-25 15:10:00+00:00,-1 days +23:48:06.948000,-714
123506,123507,2020-09-25 10:20:00,loon,1.5,17.19,edi.499.2,2020-09-25 15:20:00+00:00,-1 days +23:38:06.948000,-1314
