,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
96925,96926,2019-09-07 09:50:00,loon,1.5,20.58,edi.499.2,2019-09-07 14:50:00+00:00,0 days 00:29:06.333000,1746
96926,96927,2019-09-07 10:00:00,loon,1.5,20.61,edi.499.2,2019-09-07 15:00:00+00:00,0 days 00:19:06.333000,1146
96927,96928,2019-09-07 10:10:00,loon,1.5,20.62,edi.499.2,2019-09-07 15:10:00+00:00,0 days 00:09:06.333000,546
96928,96929,2019-09-07 10:20:00,loon,1.5,20.65,edi.499.2,2019-09-07 15:20:00+00:00,-1 days +23:59:06.333000,-54
96929,96930,2019-09-07 10:30:00,loon,1.5,20.66,edi.499.2,2019-09-07 15:30:00+00:00,-1 days +23:49:06.333000,-654
96930,96931,2019-09-07 10:40:00,loon,1.5,20.68,edi.499.2,2019-09-07 15:40:00+00:00,-1 days +23:39:06.333000,-1254
