,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
122353,122354,2020-09-17 10:10:00,loon,1.5,19.37,edi.499.2,2020-09-17 15:10:00+00:00,0 days 00:23:09.206000,1389
122354,122355,2020-09-17 10:20:00,loon,1.5,19.39,edi.499.2,2020-09-17 15:20:00+00:00,0 days 00:13:09.206000,789
122355,122356,2020-09-17 10:30:00,loon,1.5,19.37,edi.499.2,2020-09-17 15:30:00+00:00,0 days 00:03:09.206000,189
122356,122357,2020-09-17 10:40:00,loon,1.5,19.37,edi.499.2,2020-09-17 15:40:00+00:00,-1 days +23:53:09.206000,-411
122357,122358,2020-09-17 10:50:00,loon,1.5,19.4,edi.499.2,2020-09-17 15:50:00+00:00,-1 days +23:43:09.206000,-1011
122358,122359,2020-09-17 11:00:00,loon,1.5,19.42,edi.499.2,2020-09-17 16:00:00+00:00,-1 days +23:33:09.206000,-1611
