,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
104990,104991,2019-11-02 10:10:00,loon,1.5,11.96,edi.499.2,2019-11-02 15:10:00+00:00,0 days 00:23:16.982000,1396
104991,104992,2019-11-02 10:20:00,loon,1.5,11.98,edi.499.2,2019-11-02 15:20:00+00:00,0 days 00:13:16.982000,796
104992,104993,2019-11-02 10:30:00,loon,1.5,12.0,edi.499.2,2019-11-02 15:30:00+00:00,0 days 00:03:16.982000,196
104993,104994,2019-11-02 10:40:00,loon,1.5,12.01,edi.499.2,2019-11-02 15:40:00+00:00,-1 days +23:53:16.982000,-404
104994,104995,2019-11-02 10:50:00,loon,1.5,12.03,edi.499.2,2019-11-02 15:50:00+00:00,-1 days +23:43:16.982000,-1004
104995,104996,2019-11-02 11:00:00,loon,1.5,12.08,edi.499.2,2019-11-02 16:00:00+00:00,-1 days +23:33:16.982000,-1604
