,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
29702,29703,2016-07-12 10:10:00,loon,1.5,22.48,edi.499.2,2016-07-12 15:10:00+00:00,0 days 00:25:26.605000,1526
29703,29704,2016-07-12 10:20:00,loon,1.5,22.58,edi.499.2,2016-07-12 15:20:00+00:00,0 days 00:15:26.605000,926
29704,29705,2016-07-12 10:30:00,loon,1.5,22.68,edi.499.2,2016-07-12 15:30:00+00:00,0 days 00:05:26.605000,326
29705,29706,2016-07-12 10:40:00,loon,1.5,22.58,edi.499.2,2016-07-12 15:40:00+00:00,-1 days +23:55:26.605000,-274
29706,29707,2016-07-12 10:50:00,loon,1.5,22.69,edi.499.2,2016-07-12 15:50:00+00:00,-1 days +23:45:26.605000,-874
29707,29708,2016-07-12 11:00:00,loon,1.5,22.77,edi.499.2,2016-07-12 16:00:00+00:00,-1 days +23:35:26.605000,-1474
