,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
91168,91169,2019-07-29 10:10:00,loon,1.5,25.63,edi.499.2,2019-07-29 15:10:00+00:00,0 days 00:22:55.848000,1375
91169,91170,2019-07-29 10:20:00,loon,1.5,25.69,edi.499.2,2019-07-29 15:20:00+00:00,0 days 00:12:55.848000,775
91170,91171,2019-07-29 10:30:00,loon,1.5,25.81,edi.499.2,2019-07-29 15:30:00+00:00,0 days 00:02:55.848000,175
91171,91172,2019-07-29 10:40:00,loon,1.5,25.93,edi.499.2,2019-07-29 15:40:00+00:00,-1 days +23:52:55.848000,-425
91172,91173,2019-07-29 10:50:00,loon,1.5,26.03,edi.499.2,2019-07-29 15:50:00+00:00,-1 days +23:42:55.848000,-1025
91173,91174,2019-07-29 11:00:00,loon,1.5,26.02,edi.499.2,2019-07-29 16:00:00+00:00,-1 days +23:32:55.848000,-1625
