,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
3027,3028,2015-07-02 10:10:00,loon,1.5,20.26,edi.499.2,2015-07-02 15:10:00+00:00,0 days 00:22:18.313000,1338
3028,3029,2015-07-02 10:20:00,loon,1.5,20.3,edi.499.2,2015-07-02 15:20:00+00:00,0 days 00:12:18.313000,738
3029,3030,2015-07-02 10:30:00,loon,1.5,20.3,edi.499.2,2015-07-02 15:30:00+00:00,0 days 00:02:18.313000,138
3030,3031,2015-07-02 10:40:00,loon,1.5,20.34,edi.499.2,2015-07-02 15:40:00+00:00,-1 days +23:52:18.313000,-462
3031,3032,2015-07-02 10:50:00,loon,1.5,20.35,edi.499.2,2015-07-02 15:50:00+00:00,-1 days +23:42:18.313000,-1062
3032,3033,2015-07-02 11:00:00,loon,1.5,20.38,edi.499.2,2015-07-02 16:00:00+00:00,-1 days +23:32:18.313000,-1662
