,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
121197,121198,2020-09-09 09:30:00,loon,1.5,21.15,edi.499.2,2020-09-09 14:30:00+00:00,0 days 00:29:10.306000,1750
121198,121199,2020-09-09 09:40:00,loon,1.5,21.16,edi.499.2,2020-09-09 14:40:00+00:00,0 days 00:19:10.306000,1150
121199,121200,2020-09-09 09:50:00,loon,1.5,21.19,edi.499.2,2020-09-09 14:50:00+00:00,0 days 00:09:10.306000,550
121200,121201,2020-09-09 10:00:00,loon,1.5,21.22,edi.499.2,2020-09-09 15:00:00+00:00,-1 days +23:59:10.306000,-50
121201,121202,2020-09-09 10:10:00,loon,1.5,21.2,edi.499.2,2020-09-09 15:10:00+00:00,-1 days +23:49:10.306000,-650
121202,121203,2020-09-09 10:20:00,loon,1.5,21.2,edi.499.2,2020-09-09 15:20:00+00:00,-1 days +23:39:10.306000,-1250
