,Unnamed: 0,datetime,location,depth_m,temp_degC,source,datetime_utc,dt_delta,delta_secs
36612,36613,2016-08-29 10:10:00,loon,1.5,23.72,edi.499.2,2016-08-29 15:10:00+00:00,0 days 00:25:34.561000,1534
36613,36614,2016-08-29 10:20:00,loon,1.5,23.73,edi.499.2,2016-08-29 15:20:00+00:00,0 days 00:15:34.561000,934
36614,36615,2016-08-29 10:30:00,loon,1.5,23.73,edi.499.2,2016-08-29 15:30:00+00:00,0 days 00:05:34.561000,334
36615,36616,2016-08-29 10:40:00,loon,1.5,23.76,edi.499.2,2016-08-29 15:40:00+00:00,-1 days +23:55:34.561000,-266
36616,36617,2016-08-29 10:50:00,loon,1.5,23.76,edi.499.2,2016-08-29 15:50:00+00:00,-1 days +23:45:34.561000,-866
36617,36618,2016-08-29 11:00:00,loon,1.5,23.76,edi.499.2,2016-08-29 16:00:00+00:00,-1 days +23:35:34.561000,-1466
